accession,organism,kingdom,phylum,class,order,family,genus,full_taxonomy
NC_000913,Escherichia coli str. K-12 substr. MG1655,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
NZ_CP098739,Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
NZ_CP051466,Bacillus subtilis subsp. subtilis,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_CP051465,Bacillus subtilis subsp. subtilis,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_CP021169,Bacillus subtilis,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_JPVX00000000,Bacillus subtilis subsp. subtilis,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_JNCN00000000,Bacillus subtilis,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_JPVW00000000,Bacillus subtilis subsp. subtilis,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_CP010053,Bacillus subtilis,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_CP010052,Bacillus subtilis subsp. subtilis str. 168,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_JNCM00000000,Bacillus subtilis subsp. subtilis str. 168,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus
NZ_NHTF00000000,Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
NZ_CP091170,Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
NZ_CP091165,Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
